# 내장 마스터 커브 데이터
# 원본: S120-R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
7.575000000000000000e+04	1.389254367089402676e+07	3.886438239584524184e+06
1.037000000000000000e+05	1.457251262267699838e+07	4.246164906639821827e+06
1.296000000000000000e+05	1.533581250787681714e+07	4.742575212181357667e+06
2.234000000000000000e+05	1.615321911042773537e+07	5.244462275788381696e+06
2.793000000000000000e+05	1.710466966739667580e+07	5.908345129866205156e+06
4.813000000000000000e+05	1.807654725130530819e+07	6.642074087801962160e+06
6.016000000000000000e+05	1.933470045322776213e+07	7.622092970012248494e+06
1.037000000000000000e+06	2.064193908912401274e+07	8.597112656704349443e+06
1.296000000000000000e+06	2.237524512091796473e+07	9.984696995804449543e+06
1.720000000000000000e+06	2.411845295815671608e+07	1.138812149562727660e+07
2.793000000000000000e+06	2.650747797165533900e+07	1.352126330128596723e+07
3.706000000000000000e+06	2.897836230975905806e+07	1.576653980322308280e+07
6.016000000000000000e+06	3.170879477288877964e+07	1.868090842640802637e+07
7.985000000000000000e+06	3.479490391558713466e+07	2.196027716173789278e+07
1.296000000000000000e+07	3.862651406617670506e+07	2.579371337898658589e+07
1.720000000000000000e+07	4.344756155420225114e+07	3.086618248208499700e+07
3.706000000000000000e+07	4.959018219881463796e+07	3.730976554586093873e+07
3.789000000000000000e+07	5.755290655148740858e+07	4.560254702672125399e+07
7.985000000000000000e+07	6.805670748453824222e+07	5.642078026385834068e+07
8.163000000000000000e+07	8.216702795131261647e+07	7.073411312389524281e+07
1.720000000000000000e+08	1.014934576592800170e+08	8.995286554955486953e+07
1.759000000000000000e+08	1.285236938128790706e+08	1.161592467564444691e+08
3.789000000000000000e+08	1.671952308708659410e+08	1.524760715964739323e+08
8.163000000000000000e+08	2.238983859230793715e+08	2.036644143998909593e+08
1.759000000000000000e+09	3.092824565639458299e+08	2.771089747359297276e+08
3.789000000000000000e+09	4.415986231694654822e+08	3.844717540560005903e+08
